train_data,model,accuracy,f1_macro
real_only,log_reg,0.7619047619047619,0.5179388906632599
real_only,random_forest,0.6666666666666666,0.4565381708238851
real_only,dummy_most_frequent,0.5595238095238095,0.23918575063613232
consensus_only,random_forest,0.7023809523809523,0.5850427350427351
consensus_only,log_reg,0.5238095238095238,0.4148333797456605
consensus_only,dummy_most_frequent,0.5595238095238095,0.23918575063613232
real+consensus,log_reg,0.7023809523809523,0.48611111111111116
real+consensus,random_forest,0.6547619047619048,0.4621119459490943
real+consensus,dummy_most_frequent,0.5595238095238095,0.23918575063613232
